"Resource_ID","name","CREATED_date","Days","RESOURCE_GROUP_NAME","subscription_NAME"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-ticketServiceHealth","logic-sandsub-s-mon-ticketServiceHealth","29-03-2023 18:44:24","62","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-timertrigger-demo","logic-sandsub-s-timertrigger-demo","10-03-2023 20:23:19","80","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/test001-01-00009","test001-01-00009","26-02-2023 13:44:59","93","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.OperationalInsights/workspaces/log-nonpsub-s-mon-westus2","log-nonpsub-s-mon-westus2","29-05-2023 19:48:31","0","Microsoft.OperationalInsights/workspaces","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azureblob","azureblob","23-02-2023 15:58:34","96","Microsoft.Web/connections","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azureblob-1","azureblob-1","11-03-2023 00:40:15","80","Microsoft.Web/connections","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azureblob-2","azureblob-2","22-03-2023 18:25:16","69","Microsoft.Web/connections","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azureloganalyticsdatacollector","azureloganalyticsdatacollector","29-05-2023 19:54:43","0","Microsoft.Web/connections","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azuretables","azuretables","06-02-2023 22:57:44","112","Microsoft.Web/connections","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Web/connections/azuretables-1","azuretables-1","06-02-2023 22:36:59","112","Microsoft.Web/connections","sandbox"
