"vNet Name","vNet Location","vNet Address","vNet Resource Group Name","vNet Subnet"
"cona_api_app_gateway_vnet","eastus","10.0.0.0/24","rg_UnitedPOC_apipoc_maintenance","app_gateway_subnet,applicationgateway_subnet"
"vNet_UnitedPOC_westus2","westus2","172.28.12.0/23","rg_UnitedPOC_apipoc_maintenance","GatewaySubnet,snet_apipoc_westus2"
"vNet_Sanbox_eastus","eastus","172.28.8.0/23","rg_Sandbox_BlockChain","snet_AKS_eastus1,snet_AKS_eastus2"
"aks-vnet-27255451","westus2","10.0.0.0/8","MC_rg_sandsub_s_luc_westus2_aks_sandsub_s_luc_westus2_westus2","aks-subnet"
"vNet_Sandbox_westus2","westus2","172.28.10.0/23","rg_Sandbox_westus2","snet_sandbox_westus2_App_01,snet_sandbox_westus2_appgateway_01,snet_sandbox_westus2_appservice_01,snet_sandbox_westus2_DB_01,snet_sandbox_westus2_autotesting_01,snet_sandbox_pvtendpoint_westus2_001,snet_sandsub_app_westus2_01"
"vnet_sandsub_luc_westus2_01","westus2","172.28.41.0/24","rg_sandsub_s_luc_westus2","snet_sandsub_aks_westus2_01,snet_sandsub_appgateway_westus2_01"
"vnet_sandsub_westus2_001","westus2","173.249.89.80/28","rg_sandsub_s_sap_mgmt_westus2","snet_sandsub_mgmt_westus2_001"
"vnet_sandsub_sap_westus2_001","westus2","173.249.89.0/26","rg_sandsub_s_sap_wkz_westus2","snet_sansub_anf_westus2_001,snet_sansub_db_westus2_001,snet_sansub_app_westus2_001,snet_sansub_admin_westus2_001"
"vNet_network_transit_eastus","eastus","140.82.96.0/23","rg_network_eastus","snet_firewall_eastus_ha,GatewaySubnet,snet_firewall_eastus_protected,snet_firewall_eastus_mgmt,snet_firewall_eastus_untrusted,snet_firewall_eastus_trusted,snet_Network_Test_Machines"
"vNet_network_transit_westus2","westus2","140.82.98.0/23","rg_network_westus2","snet_firewall_westus2_trusted,snet_firewall_westus2_ha,GatewaySubnet,snet_firewall_westus2_untrusted,snet_firewall_westus2_mgmt,snet_firewall_westus2_protected"
"vnet_netwsub_westus2_001","westus2","173.249.92.0/23","rg_netwsub_p_fgt_westus2","snet_netwsub_ha_westus2_001,snet_netwsub_mgmt_westus2_001,snet_netwsub_protected_westus2_001,snet_netwsub_trusted_westus2_001,snet_netwsub_untrusted_westus2_001,snet_netwsub_consolidated_test,GatewaySubnet"
"vNet_perftest_westus2","westus2","172.28.34.0/23","rg_perftest_westus2","snet_perftest_westus2_01,snet_perftest_westus2_02"
